Qty,Description,Possible MPN,Package,Notes/Source,Mouser Part Number,Manufacturer Part Number,Manufacturer Name,Mouser Description,Datasheet URL,Price,Availability,Match Status
1,"ESP32 Wi-Fi/BT Module, 8MB Flash, 2MB PSRAM",ESP32-WROOM-32E-N8R2,RF_Module:ESP32-WROOM-32E,"Sufficient for MP3, SMT. Use Espressif KiCad Lib. Verify footprint.",356-ESP32WRM32EN8R2,ESP32-WROOM-32E-N8R2,Espressif Systems,"Multiprotocol Modules ESP32-WROOM-32E integrates ESP32-D0WD-V3, with higher stability and safety performance.",https://www.mouser.com/datasheet/2/891/esp32_wroom_32e_esp32_wroom_32ue_datasheet_en-1855879.pdf,$2.88,In Stock,Matched
1,"USB Type-C Receptacle, 2.0, 16-pin, Horiz, SMT w/ posts",UJ20-C-H-G-SMT-4-P16-TR,Connector_USB:USB_C_Receptacle_...,"SameSky, 5A, 48V. Find/verify footprint.",179-UJ20CHGSMT4P16TR,UJ20-C-H-G-SMT-4-P16-TR,Same Sky,"USB Connectors Type C, 2.0, Horizontal, Gold Plated 3u, Surface Mount with post, 16 pin, T&R",https://www.mouser.com/datasheet/2/1628/uj20_c_h_g_smt_4_p16_tr-3575366.pdf,$0.60,In Stock,Matched
1,USB-to-UART Bridge,CP2102N-A02-GQFN24,Package_DFN_QFN:QFN-24-1EP_...,"Silicon Labs, Integrated Osc.. Find/verify footprint.",634-CP2102NA02GQFN24,CP2102N-A02-GQFN24,Silicon Labs,USB Interface IC USBXpress - USB to UART Bridge QFN24,https://www.mouser.com/datasheet/2/368/cp2102n_datasheet-1634912.pdf,$5.59,In Stock,Matched
1,"LDO Voltage Regulator, 3.3V, 1A",AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3,"Common LDO, requires caps.",,,,,,,,LLM Selection Failed
2,NPN Transistor (Small Signal),BC547 / 2N3904,Package_TO_SOT_THT:TO-92_Inline,For auto-reset circuit. (Or 2N7002DW SOT363 ).,512-2N3904TF,2N3904TF,onsemi / Fairchild,Bipolar Transistors - BJT NPN 40V 200mA,https://www.mouser.com/datasheet/2/308/1/2N3904_D-1801586.pdf,$0.23,In Stock,Matched
1,LED Green 3mm THT,,LED_THT:LED_D3.0mm,Power indicator.,78-TLHG4400-MS12,TLHG4400-MS12,Vishay Semiconductors,Single Color LEDs Green 13mcd; 3mm 562-575nm; 2.4V Typ,,$0.71,In Stock,Matched
1,LED Blue 3mm THT,,LED_THT:LED_D3.0mm,"User blink LED (e.g., on GPIO2).",828-OVLBB4C7,OVLBB4C7,Optek / TT Electronics,Single Color LEDs Blue 470 nm,https://www.mouser.com/datasheet/2/414/OVLBx4C7-3011973.pdf,$0.39,In Stock,Matched
4,Resistor 10kΩ,,Resistor_SMD:R_0805_2012Metric,"Pull-ups (EN, GPIO0), Pull-downs (GPIO12, GPIO15 - adjust as needed).",594-MCU0805MD1002BP5,MCU0805MD1002BP500,Vishay / Beyschlag,Thin Film Resistors - SMD MCU 0805-25 0.1% AT P5 10K,,$0.49,In Stock,Matched
1,Resistor 1kΩ,,Resistor_SMD:R_0805_2012Metric,CP2102N RSTb pull-up.,667-ERJ-S06J102V,ERJ-S06J102V,Panasonic,Thick Film Resistors - SMD 0805 1000ohms 5% Anti-Sulfur AEC-Q200,,$0.21,In Stock,Matched
2,Resistor ~330Ω (TBD),,Resistor_SMD:R_0805_2012Metric,LED Current Limiting. Value depends on LED Vf.,667-ERA-6AED331V,ERA-6AED331V,Panasonic,Thin Film Resistors - SMD 0805 330ohms 25ppm 0.5% AEC-Q200,,$0.26,In Stock,Matched
2,Resistor 1kΩ-10kΩ (TBD),,Resistor_SMD:R_0805_2012Metric,Auto-reset transistor base resistors (if using BJTs).,71-MPMT1001/1002AT1,MPMT10011002AT1,Vishay / Thin Film,Resistor Networks & Arrays 1K/10K .1%ABS .05%RATIO,,$6.53,In Stock,Matched
2,Capacitor 10µF Ceramic,,Capacitor_SMD:C_0805_2012Metric,"Bulk capacitance (LDO in, ESP32 3V3).",80-C0805X106J9R,C0805X106J9RACTU,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.3Vo 10uF X7R 0805  5% Flex Soft,https://www.mouser.com/datasheet/2/447/KEM_C1013_X7R_FT_CAP_SMD-3316633.pdf,$1.02,In Stock,Matched
1,Capacitor 22µF Tantalum (or Ceramic),,Capacitor_SMD:CP_Elec_...,LDO Output Stability. Check LDO datasheet.,,,,,,,,LLM Selection Failed
1,Capacitor 1µF Ceramic,,Capacitor_SMD:C_0805_2012Metric,ESP32 EN pin RC delay.,80-C0805X105J5RAUTO,C0805X105J5RACAUTO,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF 5% X7R 0805 AEC-Q200,https://www.mouser.com/datasheet/2/447/KEM_C1078_X7R_FT_CAP_AUTO_SMD-3316638.pdf,$1.24,In Stock,Matched
~6,Capacitor 0.1µF Ceramic,,Capacitor_SMD:C_0603_1608Metric,"Decoupling (ESP32, CP2102N). Place close to IC pins.",80-C0603C104K3REC,C0603C104K3RECTU,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 0.1uF X7R 0603 10%,https://www.mouser.com/datasheet/2/447/KEM_C1090_X7R_ESD-3316292.pdf,$0.14,In Stock,Matched
1,Capacitor 4.7µF Ceramic,,Capacitor_SMD:C_0805_2012Metric,CP2102N VREGIN decoupling.,80-C0805C475K4R7210,C0805C475K4RAC7210,KEMET,Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 4.7uF X7R 0805 10%,https://www.mouser.com/datasheet/2/447/KEM_C1002_X7R_SMD-3316098.pdf,$0.23,In Stock,Matched
2,Push Button Switch Tactile,,Button_Switch_THT:SW_PUSH_...,Manual Reset (EN) and Boot (GPIO0).,,,,,,,,No Mouser Matches
~4,"Pin Header Male 0.1"" Pitch (Various Sizes)",,Connector_PinHeader_2.54mm:...,GPIO breakout.,649-95735-104LF,95735-104LF,Amphenol FCI,"FFC & FPC Connectors Clincher&trade; Flex Connectors, Vertical Header, Single row, 4 Positions, 2.54mm (0.100in) Pitch",,$2.94,In Stock,Matched
