Qty,Description,Possible MPN,Package,Notes/Source
1,"ESP32 Wi-Fi/BT Module, 8MB Flash, 2MB PSRAM",ESP32-WROOM-32E-N8R2,RF_Module:ESP32-WROOM-32E,"Sufficient for MP3, SMT. Use Espressif KiCad Lib. Verify footprint."
1,"USB Type-C Receptacle, 2.0, 16-pin, Horiz, SMT w/ posts",UJ20-C-H-G-SMT-4-P16-TR,Connector_USB:USB_C_Receptacle_...,"SameSky, 5A, 48V. Find/verify footprint."
1,USB-to-UART Bridge,CP2102N-A02-GQFN24,Package_DFN_QFN:QFN-24-1EP_...,"Silicon Labs, Integrated Osc.. Find/verify footprint."
1,"LDO Voltage Regulator, 3.3V, 1A",AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3,"Common LDO, requires caps."
2,NPN Transistor (Small Signal),BC547 / 2N3904,Package_TO_SOT_THT:TO-92_Inline,For auto-reset circuit. (Or 2N7002DW SOT363 ).
1,LED Green 3mm THT,,LED_THT:LED_D3.0mm,Power indicator.
1,LED Blue 3mm THT,,LED_THT:LED_D3.0mm,"User blink LED (e.g., on GPIO2)."
4,Resistor 10kΩ,,Resistor_SMD:R_0805_2012Metric,"Pull-ups (EN, GPIO0), Pull-downs (GPIO12, GPIO15 - adjust as needed)."
1,Resistor 1kΩ,,Resistor_SMD:R_0805_2012Metric,CP2102N RSTb pull-up.
2,Resistor ~330Ω (TBD),,Resistor_SMD:R_0805_2012Metric,LED Current Limiting. Value depends on LED Vf.
2,Resistor 1kΩ-10kΩ (TBD),,Resistor_SMD:R_0805_2012Metric,Auto-reset transistor base resistors (if using BJTs).
2,Capacitor 10µF Ceramic,,Capacitor_SMD:C_0805_2012Metric,"Bulk capacitance (LDO in, ESP32 3V3)."
1,Capacitor 22µF Tantalum (or Ceramic),,Capacitor_SMD:CP_Elec_...,LDO Output Stability. Check LDO datasheet.
1,Capacitor 1µF Ceramic,,Capacitor_SMD:C_0805_2012Metric,ESP32 EN pin RC delay.
~6,Capacitor 0.1µF Ceramic,,Capacitor_SMD:C_0603_1608Metric,"Decoupling (ESP32, CP2102N). Place close to IC pins."
1,Capacitor 4.7µF Ceramic,,Capacitor_SMD:C_0805_2012Metric,CP2102N VREGIN decoupling.
2,Push Button Switch Tactile,,Button_Switch_THT:SW_PUSH_...,Manual Reset (EN) and Boot (GPIO0).
~4,"Pin Header Male 0.1"" Pitch (Various Sizes)",,Connector_PinHeader_2.54mm:...,GPIO breakout.
